ticker,status,comment,date added
NSE:ZYDUSWELL,new,,2026-07-22
NSE:ZYDUSLIFE,new,,2026-07-22
NSE:ZENTEC,new,,2026-07-22
NSE:WOCKPHARMA,new,,2026-07-22
NSE:WELSPUNLIV,new,,2026-07-22
NSE:WELCORP,new,,2026-07-22
NSE:VTL,new,,2026-07-22
NSE:VIJAYA,new,,2026-07-22
NSE:TRITURBINE,new,,2026-07-22
NSE:TORNTPHARM,new,,2026-07-22
NSE:TITAN,new,,2026-07-22
NSE:TIPSMUSIC,new,,2026-07-22
NSE:THERMAX,new,,2026-07-22
NSE:THELEELA,new,,2026-07-22
NSE:SYRMA,new,,2026-07-22
NSE:SUNPHARMA,new,,2026-07-22
NSE:STARHEALTH,new,,2026-07-22
NSE:SONACOMS,new,,2026-07-22
NSE:SOLARINDS,new,,2026-07-22
NSE:SIEMENS,new,,2026-07-22
NSE:SHYAMMETL,new,,2026-07-22
NSE:SCI,new,,2026-07-22
NSE:SCHNEIDER,new,,2026-07-22
NSE:SAILIFE,new,,2026-07-22
NSE:RRKABEL,new,,2026-07-22
NSE:RKFORGE,new,,2026-07-22
NSE:RBLBANK,new,,2026-07-22
NSE:RADICO,new,,2026-07-22
NSE:PTCIL,new,,2026-07-22
NSE:POWERINDIA,new,,2026-07-22
NSE:POWERGRID,new,,2026-07-22
NSE:POLYCAB,new,,2026-07-22
NSE:PNBHOUSING,new,,2026-07-22
NSE:PHOENIXLTD,new,,2026-07-22
NSE:PFC,new,,2026-07-22
NSE:NYKAA,new,,2026-07-22
NSE:NUVAMA,new,,2026-07-22
NSE:NLCINDIA,new,,2026-07-22
NSE:NIVABUPA,new,,2026-07-22
NSE:NH,new,,2026-07-22
NSE:NETWEB,new,,2026-07-22
NSE:NESTLEIND,new,,2026-07-22
NSE:NAZARA,new,,2026-07-22
NSE:NAVINFLUOR,new,,2026-07-22
NSE:NAM_INDIA,new,,2026-07-22
NSE:MOTHERSON,new,,2026-07-22
NSE:MCX,new,,2026-07-22
NSE:MARICO,new,,2026-07-22
NSE:MANAPPURAM,new,,2026-07-22
NSE:MAHABANK,new,,2026-07-22
NSE:LUPIN,new,,2026-07-22
NSE:LTF,new,,2026-07-22
NSE:LLOYDSME,new,,2026-07-22
NSE:LINDEINDIA,new,,2026-07-22
NSE:LAURUSLABS,new,,2026-07-22
NSE:KIRLOSENG,new,,2026-07-22
NSE:KEI,new,,2026-07-22
NSE:KARURVYSYA,new,,2026-07-22
NSE:JSWSTEEL,new,,2026-07-22
NSE:JSWENERGY,new,,2026-07-22
NSE:JINDALSAW,new,,2026-07-22
NSE:JBCHEPHARM,new,,2026-07-22
NSE:J&KBANK,new,,2026-07-22
NSE:IPCALAB,new,,2026-07-22
NSE:INDUSINDBK,new,,2026-07-22
NSE:IKS,new,,2026-07-22
NSE:IFCI,new,,2026-07-22
NSE:IDEA,new,,2026-07-22
NSE:HSCL,new,,2026-07-22
NSE:HONASA,new,,2026-07-22
NSE:HFCL,new,,2026-07-22
NSE:GVT&D,new,,2026-07-22
NSE:GRASIM,new,,2026-07-22
NSE:GRANULES,new,,2026-07-22
NSE:GMRAIRPORT,new,,2026-07-22
NSE:GLENMARK,new,,2026-07-22
NSE:GLAND,new,,2026-07-22
NSE:GESHIP,new,,2026-07-22
NSE:FINCABLES,new,,2026-07-22
NSE:FEDERALBNK,new,,2026-07-22
NSE:ENGINERSIN,new,,2026-07-22
NSE:EMCURE,new,,2026-07-22
NSE:ELGIEQUIP,new,,2026-07-22
NSE:EICHERMOT,new,,2026-07-22
NSE:DIVISLAB,new,,2026-07-22
NSE:DATAPATTNS,new,,2026-07-22
NSE:CUMMINSIND,new,,2026-07-22
NSE:CRAFTSMAN,new,,2026-07-22
NSE:CPPLUS,new,,2026-07-22
NSE:CIEINDIA,new,,2026-07-22
NSE:CHENNPETRO,new,,2026-07-22
NSE:CGPOWER,new,,2026-07-22
NSE:CEMPRO,new,,2026-07-22
NSE:CCL,new,,2026-07-22
NSE:CARBORUNIV,new,,2026-07-22
NSE:BSE,new,,2026-07-22
NSE:BIOCON,new,,2026-07-22
NSE:BHEL,new,,2026-07-22
NSE:BHARATFORG,new,,2026-07-22
NSE:BELRISE,new,,2026-07-22
NSE:BALRAMCHIN,new,,2026-07-22
NSE:BAJAJ_AUTO,new,,2026-07-22
NSE:AUROPHARMA,new,,2026-07-22
NSE:ATHERENERG,new,,2026-07-22
NSE:ASTERDM,new,,2026-07-22
NSE:APOLLOHOSP,new,,2026-07-22
NSE:APARINDS,new,,2026-07-22
NSE:ANTHEM,new,,2026-07-22
NSE:ANGELONE,new,,2026-07-22
NSE:ANANDRATHI,new,,2026-07-22
NSE:AJANTPHARM,new,,2026-07-22
NSE:AIAENG,new,,2026-07-22
NSE:AEGISLOG,new,,2026-07-22
NSE:ADANIPOWER,new,,2026-07-22
NSE:ADANIPORTS,new,,2026-07-22
NSE:ADANIGREEN,new,,2026-07-22
NSE:ADANIENT,new,,2026-07-22
NSE:ADANIENSOL,new,,2026-07-22
NSE:ACUTAAS,new,,2026-07-22
NSE:ACMESOLAR,new,,2026-07-22
NSE:ABSLAMC,new,,2026-07-22
NSE:ABCAPITAL,new,,2026-07-22
NSE:ABB,new,,2026-07-22
NSE:AARTIIND,new,,2026-07-22
